term,date,volume
attention economy,2024-02-16,0.4163
attention economy,2024-02-17,0.4687
attention economy,2024-02-18,0.7264
attention economy,2024-02-19,0.7962
attention economy,2024-02-20,0.589
attention economy,2024-02-21,0.5759
attention economy,2024-02-22,0.6426
attention economy,2024-02-23,0.5329
attention economy,2024-02-24,0.541
attention economy,2024-02-25,0.4727
attention economy,2024-02-26,0.6375
attention economy,2024-02-27,0.6348
attention economy,2024-02-28,0.6346
attention economy,2024-02-29,0.7174
attention economy,2024-03-01,0.8007
attention economy,2024-03-02,0.7175
attention economy,2024-03-03,0.9026
attention economy,2024-03-04,0.9415
attention economy,2024-03-05,0.9033
attention economy,2024-03-06,0.9082
attention economy,2024-03-07,0.9418
attention economy,2024-03-08,0.8696
attention economy,2024-03-09,0.7193
attention economy,2024-03-10,0.8007
attention economy,2024-03-11,0.7226
attention economy,2024-03-12,0.8177
attention economy,2024-03-13,0.7622
attention economy,2024-03-14,0.6375
attention economy,2024-03-15,0.5549
attention economy,2024-03-16,0.5807
attention economy,2024-03-17,0.5929
attention economy,2024-03-18,0.6158
attention economy,2024-03-19,0.7198
attention economy,2024-03-20,0.6878
attention economy,2024-03-21,0.825
attention economy,2024-03-22,0.5578
attention economy,2024-03-23,0.5493
attention economy,2024-03-24,0.4639
attention economy,2024-03-25,0.5701
attention economy,2024-03-26,0.5752
attention economy,2024-03-27,0.7451
attention economy,2024-03-28,0.8817
attention economy,2024-03-29,0.7456
attention economy,2024-03-30,0.5588
attention economy,2024-03-31,0.4677
attention economy,2024-04-01,0.6691
attention economy,2024-04-02,0.6245
attention economy,2024-04-03,0.5514
attention economy,2024-04-04,0.4233
attention economy,2024-04-05,0.4158
attention economy,2024-04-06,0.4203
attention economy,2024-04-07,0.6467
attention economy,2024-04-08,0.5664
attention economy,2024-04-09,0.6198
attention economy,2024-04-10,0.6648
attention economy,2024-04-11,0.6692
attention economy,2024-04-12,0.7164
attention economy,2024-04-13,0.5792
attention economy,2024-04-14,0.6121
attention economy,2024-04-15,0.6266
attention economy,2024-04-16,0.698
attention economy,2024-04-17,0.7046
attention economy,2024-04-18,0.7328
attention economy,2024-04-19,0.6361
attention economy,2024-04-20,0.506
attention economy,2024-04-21,0.6257
attention economy,2024-04-22,0.6226
attention economy,2024-04-23,0.6997
attention economy,2024-04-24,0.5985
attention economy,2024-04-25,0.6432
attention economy,2024-04-26,0.7663
attention economy,2024-04-27,0.5304
attention economy,2024-04-28,0.6982
attention economy,2024-04-29,0.6035
attention economy,2024-04-30,0.5772
attention economy,2024-05-01,0.4724
attention economy,2024-05-02,0.4638
attention economy,2024-05-03,0.3631
attention economy,2024-05-04,0.4012
attention economy,2024-05-05,0.5272
attention economy,2024-05-06,0.6331
attention economy,2024-05-07,0.5405
attention economy,2024-05-08,0.5814
attention economy,2024-05-09,0.5765
attention economy,2024-05-10,0.6343
attention economy,2024-05-11,0.6974
attention economy,2024-05-12,0.5203
attention economy,2024-05-13,0.7115
attention economy,2024-05-14,0.6639
attention economy,2024-05-15,0.6823
attention economy,2024-05-16,0.6832
attention economy,2024-05-17,0.6317
attention economy,2024-05-18,0.5339
attention economy,2024-05-19,0.5583
attention economy,2024-05-20,0.6761
attention economy,2024-05-21,0.6625
attention economy,2024-05-22,0.6372
attention economy,2024-05-23,0.5816
attention economy,2024-05-24,0.6923
attention economy,2024-05-25,0.6196
attention economy,2024-05-26,0.625
attention economy,2024-05-27,0.7696
attention economy,2024-05-28,0.7144
attention economy,2024-05-29,0.5964
attention economy,2024-05-30,0.6324
attention economy,2024-05-31,0.7583
attention economy,2024-06-01,0.5892
attention economy,2024-06-02,0.6057
attention economy,2024-06-03,0.8226
attention economy,2024-06-04,0.6292
attention economy,2024-06-05,0.7627
attention economy,2024-06-06,0.6753
attention economy,2024-06-07,0.7353
attention economy,2024-06-08,0.5859
attention economy,2024-06-09,0.5916
attention economy,2024-06-10,0.4516
attention economy,2024-06-11,0.5814
attention economy,2024-06-12,0.6839
attention economy,2024-06-13,0.7027
attention economy,2024-06-14,0.5732
attention economy,2024-06-15,0.5953
attention economy,2024-06-16,0.5345
attention economy,2024-06-17,0.5749
attention economy,2024-06-18,0.7377
attention economy,2024-06-19,0.632
attention economy,2024-06-20,0.7257
attention economy,2024-06-21,0.6309
attention economy,2024-06-22,0.5307
attention economy,2024-06-23,0.6909
attention economy,2024-06-24,0.7074
attention economy,2024-06-25,0.6603
attention economy,2024-06-26,0.635
attention economy,2024-06-27,0.7391
attention economy,2024-06-28,0.8408
attention economy,2024-06-29,0.5738
attention economy,2024-06-30,0.6528
attention economy,2024-07-01,0.7683
attention economy,2024-07-02,0.623
attention economy,2024-07-03,0.677
attention economy,2024-07-04,0.7031
attention economy,2024-07-05,0.8035
attention economy,2024-07-06,0.6589
attention economy,2024-07-07,0.5782
attention economy,2024-07-08,0.7411
attention economy,2024-07-09,0.7127
attention economy,2024-07-10,0.6488
attention economy,2024-07-11,0.6172
attention economy,2024-07-12,0.713
attention economy,2024-07-13,0.5056
attention economy,2024-07-14,0.5683
attention economy,2024-07-15,0.6848
attention economy,2024-07-16,0.8045
attention economy,2024-07-17,0.7722
attention economy,2024-07-18,0.5096
attention economy,2024-07-19,0.6443
attention economy,2024-07-20,0.6074
attention economy,2024-07-21,0.9271
attention economy,2024-07-22,0.9515
attention economy,2024-07-23,0.695
attention economy,2024-07-24,0.6867
attention economy,2024-07-25,0.7093
attention economy,2024-07-26,0.6635
attention economy,2024-07-27,0.4671
attention economy,2024-07-28,0.4873
attention economy,2024-07-29,0.6098
attention economy,2024-07-30,0.6556
attention economy,2024-07-31,0.6641
attention economy,2024-08-01,0.5792
attention economy,2024-08-02,0.5976
attention economy,2024-08-03,0.4751
attention economy,2024-08-04,0.4682
attention economy,2024-08-05,0.7634
attention economy,2024-08-06,0.7225
attention economy,2024-08-07,0.5324
attention economy,2024-08-08,0.6311
attention economy,2024-08-09,0.6045
attention economy,2024-08-10,0.5326
attention economy,2024-08-11,0.4835
attention economy,2024-08-12,0.7779
attention economy,2024-08-13,0.633
attention economy,2024-08-14,0.6811
attention economy,2024-08-15,0.7229
attention economy,2024-08-16,0.8682
attention economy,2024-08-17,0.5394
attention economy,2024-08-18,0.5973
attention economy,2024-08-19,1.0109
attention economy,2024-08-20,0.6713
attention economy,2024-08-21,0.6294
attention economy,2024-08-22,0.6583
attention economy,2024-08-23,0.8325
attention economy,2024-08-24,0.5799
attention economy,2024-08-25,0.5622
attention economy,2024-08-26,0.6979
attention economy,2024-08-27,0.6055
attention economy,2024-08-28,0.5915
attention economy,2024-08-29,0.6025
attention economy,2024-08-30,0.6414
attention economy,2024-08-31,0.6153
attention economy,2024-09-01,0.652
attention economy,2024-09-02,0.6499
attention economy,2024-09-03,0.7212
attention economy,2024-09-04,0.6592
attention economy,2024-09-05,0.6622
attention economy,2024-09-06,0.7209
attention economy,2024-09-07,0.6498
attention economy,2024-09-08,0.6548
attention economy,2024-09-09,0.6621
attention economy,2024-09-10,0.6528
attention economy,2024-09-11,0.7877
attention economy,2024-09-12,0.8204
attention economy,2024-09-13,0.5686
attention economy,2024-09-14,0.6649
attention economy,2024-09-15,0.6499
attention economy,2024-09-16,0.5227
attention economy,2024-09-17,0.4388
attention economy,2024-09-18,0.6608
attention economy,2024-09-19,0.8154
attention economy,2024-09-20,0.6031
attention economy,2024-09-21,0.5982
attention economy,2024-09-22,0.6669
attention economy,2024-09-23,0.6759
attention economy,2024-09-24,0.7743
attention economy,2024-09-25,0.6676
attention economy,2024-09-26,0.766
attention economy,2024-09-27,0.6779
attention economy,2024-09-28,0.5754
attention economy,2024-09-29,0.7142
attention economy,2024-09-30,0.7893
attention economy,2024-10-01,0.5758
attention economy,2024-10-02,0.5847
attention economy,2024-10-03,0.4579
attention economy,2024-10-04,0.5296
attention economy,2024-10-05,0.6237
attention economy,2024-10-06,0.6685
attention economy,2024-10-07,0.6169
attention economy,2024-10-08,0.8129
attention economy,2024-10-09,0.7364
attention economy,2024-10-10,0.691
attention economy,2024-10-11,0.6857
attention economy,2024-10-12,0.674
attention economy,2024-10-13,0.7305
attention economy,2024-10-14,0.7995
attention economy,2024-10-15,0.8498
attention economy,2024-10-16,0.6156
attention economy,2024-10-17,0.7256
attention economy,2024-10-18,0.801
attention economy,2024-10-19,0.6163
attention economy,2024-10-20,0.5645
attention economy,2024-10-21,0.6841
attention economy,2024-10-22,0.7049
attention economy,2024-10-23,0.7156
attention economy,2024-10-24,0.6842
attention economy,2024-10-25,0.7036
attention economy,2024-10-26,0.5968
attention economy,2024-10-27,0.7398
attention economy,2024-10-28,0.8169
attention economy,2024-10-29,0.7913
attention economy,2024-10-30,0.7625
attention economy,2024-10-31,0.7703
attention economy,2024-11-01,0.7841
attention economy,2024-11-02,0.6397
attention economy,2024-11-03,0.6594
attention economy,2024-11-04,0.6862
attention economy,2024-11-05,0.8785
attention economy,2024-11-06,1.053
attention economy,2024-11-07,0.9261
attention economy,2024-11-08,0.9183
attention economy,2024-11-09,0.7111
attention economy,2024-11-10,0.7351
attention economy,2024-11-11,0.6626
attention economy,2024-11-12,0.7209
attention economy,2024-11-13,0.7603
attention economy,2024-11-14,0.691
attention economy,2024-11-15,0.8146
attention economy,2024-11-16,0.6849
attention economy,2024-11-17,0.6887
attention economy,2024-11-18,0.7773
attention economy,2024-11-19,0.7321
attention economy,2024-11-20,0.7686
attention economy,2024-11-21,0.6883
attention economy,2024-11-22,0.7157
attention economy,2024-11-23,0.5873
attention economy,2024-11-24,0.5571
attention economy,2024-11-25,0.8041
attention economy,2024-11-26,0.6156
attention economy,2024-11-27,0.7006
attention economy,2024-11-28,0.6766
attention economy,2024-11-29,0.7137
attention economy,2024-11-30,0.5733
attention economy,2024-12-01,0.5585
attention economy,2024-12-02,0.7037
attention economy,2024-12-03,0.6618
attention economy,2024-12-04,0.6428
attention economy,2024-12-05,0.6325
attention economy,2024-12-06,0.6341
attention economy,2024-12-07,0.5803
attention economy,2024-12-08,0.5842
attention economy,2024-12-09,0.5808
attention economy,2024-12-10,0.6687
attention economy,2024-12-11,0.7869
attention economy,2024-12-12,0.7446
attention economy,2024-12-13,0.6291
attention economy,2024-12-14,0.5489
attention economy,2024-12-15,0.5986
attention economy,2024-12-16,0.7021
attention economy,2024-12-17,0.6889
attention economy,2024-12-18,0.6569
attention economy,2024-12-19,0.8032
attention economy,2024-12-20,0.7153
attention economy,2024-12-21,0.5173
attention economy,2024-12-22,0.6776
attention economy,2024-12-23,0.5954
attention economy,2024-12-24,0.7816
attention economy,2024-12-25,0.8179
attention economy,2024-12-26,0.7729
attention economy,2024-12-27,0.6701
attention economy,2024-12-28,0.592
attention economy,2024-12-29,0.7555
attention economy,2024-12-30,0.9943
attention economy,2024-12-31,0.8596
attention economy,2025-01-01,0.5844
attention economy,2025-01-02,0.6469
attention economy,2025-01-03,0.5881
attention economy,2025-01-04,0.5539
attention economy,2025-01-05,0.5737
attention economy,2025-01-06,0.5965
attention economy,2025-01-07,0.5638
attention economy,2025-01-08,0.6412
attention economy,2025-01-09,0.6069
attention economy,2025-01-10,0.5857
attention economy,2025-01-11,0.5285
attention economy,2025-01-12,0.7461
attention economy,2025-01-13,0.5357
attention economy,2025-01-14,0.6141
attention economy,2025-01-15,0.6747
attention economy,2025-01-16,0.7016
attention economy,2025-01-17,0.6561
attention economy,2025-01-18,0.5323
attention economy,2025-01-19,0.6169
attention economy,2025-01-20,0.7649
attention economy,2025-01-21,0.6269
attention economy,2025-01-22,0.6309
attention economy,2025-01-23,0.6691
attention economy,2025-01-24,0.6455
attention economy,2025-01-25,0.5433
attention economy,2025-01-26,0.6772
attention economy,2025-01-27,0.5742
attention economy,2025-01-28,0.5038
attention economy,2025-01-29,0.4724
attention economy,2025-01-30,0.4621
attention economy,2025-01-31,0.4847
attention economy,2025-02-01,0.4509
attention economy,2025-02-02,0.5844
attention economy,2025-02-03,0.5003
attention economy,2025-02-04,0.47
attention economy,2025-02-05,0.7441
attention economy,2025-02-06,0.6008
attention economy,2025-02-07,0.6068
attention economy,2025-02-08,0.6358
attention economy,2025-02-09,0.6188
attention economy,2025-02-10,0.6284
attention economy,2025-02-11,0.6491
attention economy,2025-02-12,0.6076
attention economy,2025-02-13,0.6824
attention economy,2025-02-14,0.5741
attention economy,2025-02-15,0.555
attention economy,2025-02-16,0.6936
attention economy,2025-02-17,0.7492
attention economy,2025-02-18,0.6924
attention economy,2025-02-19,0.752
attention economy,2025-02-20,0.7355
attention economy,2025-02-21,0.7505
attention economy,2025-02-22,0.6773
attention economy,2025-02-23,0.6714
attention economy,2025-02-24,0.7182
attention economy,2025-02-25,0.6413
attention economy,2025-02-26,0.642
attention economy,2025-02-27,0.739
attention economy,2025-02-28,0.6887
attention economy,2025-03-01,0.4574
attention economy,2025-03-02,0.6041
attention economy,2025-03-03,0.771
attention economy,2025-03-04,0.6906
attention economy,2025-03-05,0.7295
attention economy,2025-03-06,0.7913
attention economy,2025-03-07,0.8096
attention economy,2025-03-08,0.6509
attention economy,2025-03-09,0.6755
attention economy,2025-03-10,0.8476
attention economy,2025-03-11,0.7607
attention economy,2025-03-12,0.7734
attention economy,2025-03-13,0.7731
attention economy,2025-03-14,0.7233
attention economy,2025-03-15,0.5524
attention economy,2025-03-16,0.4437
attention economy,2025-03-17,0.6518
attention economy,2025-03-18,0.7097
attention economy,2025-03-19,0.7402
attention economy,2025-03-20,0.698
attention economy,2025-03-21,0.6156
attention economy,2025-03-22,0.5942
attention economy,2025-03-23,0.5546
attention economy,2025-03-24,0.7324
attention economy,2025-03-25,0.6126
attention economy,2025-03-26,0.5902
attention economy,2025-03-27,0.7254
attention economy,2025-03-28,0.7527
attention economy,2025-03-29,0.5375
attention economy,2025-03-30,0.5223
attention economy,2025-03-31,0.7696
attention economy,2025-04-01,0.6994
attention economy,2025-04-02,0.6817
attention economy,2025-04-03,0.7268
attention economy,2025-04-04,0.5429
attention economy,2025-04-05,0.5603
attention economy,2025-04-06,0.7188
attention economy,2025-04-07,0.7297
attention economy,2025-04-08,0.6394
attention economy,2025-04-09,0.7537
attention economy,2025-04-10,0.7733
attention economy,2025-04-11,0.6841
attention economy,2025-04-12,0.5982
attention economy,2025-04-13,0.625
attention economy,2025-04-14,0.7009
attention economy,2025-04-15,0.5903
attention economy,2025-04-16,0.7077
attention economy,2025-04-17,0.8548
attention economy,2025-04-18,0.8722
attention economy,2025-04-19,0.7536
attention economy,2025-04-20,0.7989
attention economy,2025-04-21,0.7491
attention economy,2025-04-22,0.7022
attention economy,2025-04-23,0.5994
attention economy,2025-04-24,0.6776
attention economy,2025-04-25,0.688
attention economy,2025-04-26,0.5839
attention economy,2025-04-27,0.7097
attention economy,2025-04-28,0.7269
attention economy,2025-04-29,0.6667
attention economy,2025-04-30,0.7983
attention economy,2025-05-01,0.5843
attention economy,2025-05-02,0.531
attention economy,2025-05-03,0.6179
attention economy,2025-05-04,0.7595
attention economy,2025-05-05,0.5096
attention economy,2025-05-06,0.6567
attention economy,2025-05-07,0.6932
attention economy,2025-05-08,0.6057
attention economy,2025-05-09,0.6256
attention economy,2025-05-10,0.5674
attention economy,2025-05-11,0.6473
attention economy,2025-05-12,0.6158
attention economy,2025-05-13,0.6945
attention economy,2025-05-14,0.6872
attention economy,2025-05-15,0.661
attention economy,2025-05-16,0.8198
attention economy,2025-05-17,0.5413
attention economy,2025-05-18,0.5245
attention economy,2025-05-19,0.7509
attention economy,2025-05-20,0.7474
attention economy,2025-05-21,0.6952
attention economy,2025-05-22,0.7368
attention economy,2025-05-23,0.6908
attention economy,2025-05-24,0.632
attention economy,2025-05-25,0.6296
attention economy,2025-05-26,0.6442
attention economy,2025-05-27,0.6939
attention economy,2025-05-28,0.7092
attention economy,2025-05-29,0.7226
attention economy,2025-05-30,0.8863
attention economy,2025-05-31,0.4708
attention economy,2025-06-01,0.4174
attention economy,2025-06-02,0.4295
attention economy,2025-06-03,0.5804
attention economy,2025-06-04,0.6149
attention economy,2025-06-05,0.7565
attention economy,2025-06-06,0.6848
attention economy,2025-06-07,0.5245
attention economy,2025-06-08,0.4886
attention economy,2025-06-09,0.7141
attention economy,2025-06-10,0.5484
attention economy,2025-06-11,0.6599
attention economy,2025-06-12,0.6551
attention economy,2025-06-13,0.6031
attention economy,2025-06-14,0.5353
attention economy,2025-07-02,0.6329
attention economy,2025-07-03,0.6701
attention economy,2025-07-04,0.6313
attention economy,2025-07-05,0.5652
attention economy,2025-07-06,0.6501
attention economy,2025-07-07,0.6653
attention economy,2025-07-08,0.6377
attention economy,2025-07-09,0.6829
attention economy,2025-07-10,0.5874
attention economy,2025-07-11,0.6265
attention economy,2025-07-12,0.6184
attention economy,2025-07-13,0.6055
attention economy,2025-07-14,0.5844
attention economy,2025-07-15,0.7043
attention economy,2025-07-16,0.7046
attention economy,2025-07-17,0.6023
attention economy,2025-07-18,0.6353
attention economy,2025-07-19,0.5458
attention economy,2025-07-20,0.6184
attention economy,2025-07-21,0.7994
attention economy,2025-07-22,0.6386
attention economy,2025-07-23,0.7025
attention economy,2025-07-24,0.6489
attention economy,2025-07-25,0.6655
attention economy,2025-07-26,0.5534
attention economy,2025-07-27,0.6181
attention economy,2025-07-28,0.6841
attention economy,2025-07-29,0.6178
attention economy,2025-07-30,0.6742
attention economy,2025-07-31,0.6319
attention economy,2025-08-01,0.7353
attention economy,2025-08-02,0.5788
attention economy,2025-08-03,0.5254
attention economy,2025-08-04,0.7201
attention economy,2025-08-05,0.5967
attention economy,2025-08-06,0.6393
attention economy,2025-08-07,0.6706
attention economy,2025-08-08,0.5719
attention economy,2025-08-09,0.4808
attention economy,2025-08-10,0.552
attention economy,2025-08-11,0.5524
attention economy,2025-08-12,0.5371
attention economy,2025-08-13,0.5633
attention economy,2025-08-14,0.5476
attention economy,2025-08-15,0.6043
attention economy,2025-08-16,0.5598
attention economy,2025-08-17,0.5579
attention economy,2025-08-18,0.7218
attention economy,2025-08-19,0.5864
attention economy,2025-08-20,0.5593
attention economy,2025-08-21,0.5623
attention economy,2025-08-22,0.6361
attention economy,2025-08-23,0.4827
attention economy,2025-08-24,0.5521
attention economy,2025-08-25,0.5709
attention economy,2025-08-26,0.6227
attention economy,2025-08-27,0.6112
attention economy,2025-08-28,0.5775
attention economy,2025-08-29,0.5682
attention economy,2025-08-30,0.5801
attention economy,2025-08-31,0.552
attention economy,2025-09-01,0.7819
attention economy,2025-09-02,0.5403
attention economy,2025-09-03,0.4471
attention economy,2025-09-04,0.5716
attention economy,2025-09-05,0.5473
attention economy,2025-09-06,0.5059
attention economy,2025-09-07,0.5983
attention economy,2025-09-08,0.6084
attention economy,2025-09-09,0.6555
attention economy,2025-09-10,0.6037
attention economy,2025-09-11,0.6179
attention economy,2025-09-12,0.6962
attention economy,2025-09-13,0.5144
attention economy,2025-09-14,0.4722
attention economy,2025-09-15,0.6673
attention economy,2025-09-16,0.6507
attention economy,2025-09-17,0.681
attention economy,2025-09-18,0.7053
attention economy,2025-09-19,0.6381
attention economy,2025-09-20,0.5828
attention economy,2025-09-21,0.4675
attention economy,2025-09-22,0.5844
attention economy,2025-09-23,0.684
attention economy,2025-09-24,0.5805
attention economy,2025-09-25,0.5971
attention economy,2025-09-26,0.6136
attention economy,2025-09-27,0.6156
attention economy,2025-09-28,0.6745
attention economy,2025-09-29,0.6645
attention economy,2025-09-30,0.6231
attention economy,2025-10-01,0.4679
attention economy,2025-10-02,0.4343
attention economy,2025-10-03,0.3661
attention economy,2025-10-04,0.4268
attention economy,2025-10-05,0.3964
attention economy,2025-10-06,0.4511
attention economy,2025-10-07,0.511
attention economy,2025-10-08,0.5356
attention economy,2025-10-09,0.611
attention economy,2025-10-10,0.6412
attention economy,2025-10-11,0.6001
attention economy,2025-10-12,0.5217
attention economy,2025-10-13,0.6933
attention economy,2025-10-14,0.6452
attention economy,2025-10-15,0.7512
attention economy,2025-10-16,0.671
attention economy,2025-10-17,0.6921
attention economy,2025-10-18,0.5273
attention economy,2025-10-19,0.5349
attention economy,2025-10-20,0.675
attention economy,2025-10-21,0.703
attention economy,2025-10-22,0.6512
attention economy,2025-10-23,0.6122
attention economy,2025-10-24,0.6802
attention economy,2025-10-25,0.6074
attention economy,2025-10-26,0.6139
attention economy,2025-10-27,0.7338
attention economy,2025-10-28,0.635
attention economy,2025-10-29,0.6537
attention economy,2025-10-30,0.6678
attention economy,2025-10-31,0.687
attention economy,2025-11-01,0.5422
attention economy,2025-11-02,0.6025
attention economy,2025-11-03,0.6166
attention economy,2025-11-04,0.601
attention economy,2025-11-05,0.6497
attention economy,2025-11-06,0.6631
attention economy,2025-11-07,0.6546
attention economy,2025-11-08,0.5802
attention economy,2025-11-09,0.612
attention economy,2025-11-10,0.5495
attention economy,2025-11-11,0.6484
attention economy,2025-11-12,0.6284
attention economy,2025-11-13,0.6709
attention economy,2025-11-14,0.5574
attention economy,2025-11-15,0.5488
attention economy,2025-11-16,0.5162
attention economy,2025-11-17,0.6994
attention economy,2025-11-18,0.6753
attention economy,2025-11-19,0.7017
attention economy,2025-11-20,0.6987
attention economy,2025-11-21,0.6694
attention economy,2025-11-22,0.5767
attention economy,2025-11-23,0.6651
attention economy,2025-11-24,0.6426
attention economy,2025-11-25,0.6777
attention economy,2025-11-26,0.6162
attention economy,2025-11-27,0.6815
attention economy,2025-11-28,0.6773
attention economy,2025-11-29,0.5627
attention economy,2025-11-30,0.622
attention economy,2025-12-01,0.6096
attention economy,2025-12-02,0.6882
attention economy,2025-12-03,0.6286
attention economy,2025-12-04,0.6549
attention economy,2025-12-05,0.9241
attention economy,2025-12-06,1.0121
attention economy,2025-12-07,0.5208
attention economy,2025-12-08,0.761
attention economy,2025-12-09,0.7485
attention economy,2025-12-10,0.7587
attention economy,2025-12-11,0.7925
attention economy,2025-12-12,0.7503
attention economy,2025-12-13,0.58
attention economy,2025-12-14,0.6449
attention economy,2025-12-15,0.72
attention economy,2025-12-16,0.7267
attention economy,2025-12-17,0.6597
attention economy,2025-12-18,0.7445
attention economy,2025-12-19,0.6943
attention economy,2025-12-20,0.6428
attention economy,2025-12-21,0.6775
attention economy,2025-12-22,0.7365
attention economy,2025-12-23,0.6655
attention economy,2025-12-24,0.7052
attention economy,2025-12-25,0.8199
attention economy,2025-12-26,0.696
attention economy,2025-12-27,0.6396
attention economy,2025-12-28,0.5834
attention economy,2025-12-29,0.7338
attention economy,2025-12-30,0.7334
attention economy,2025-12-31,0.8979
attention economy,2026-01-01,0.7072
attention economy,2026-01-02,0.5036
attention economy,2026-01-03,0.5472
attention economy,2026-01-04,0.7919
attention economy,2026-01-05,0.8108
attention economy,2026-01-06,0.7258
attention economy,2026-01-07,0.6834
attention economy,2026-01-08,0.6372
attention economy,2026-01-09,0.6856
attention economy,2026-01-10,0.655
attention economy,2026-01-11,0.7895
attention economy,2026-01-12,0.7357
attention economy,2026-01-13,0.7571
attention economy,2026-01-14,0.6935
attention economy,2026-01-15,0.7249
attention economy,2026-01-16,0.6961
attention economy,2026-01-17,0.6489
attention economy,2026-01-18,0.7756
attention economy,2026-01-19,0.8188
attention economy,2026-01-20,0.7815
